fname,label
Abyssinian_192.jpg,Abyssinian
Abyssinian_112.jpg,Abyssinian
Abyssinian_126.jpg,Abyssinian
Abyssinian_60.jpg,Abyssinian
Abyssinian_26.jpg,Abyssinian
Abyssinian_219.jpg,Abyssinian
Abyssinian_164.jpg,Abyssinian
Abyssinian_72.jpg,Abyssinian
Abyssinian_76.jpg,Abyssinian
Abyssinian_14.jpg,Abyssinian
Abyssinian_16.jpg,Abyssinian
Abyssinian_83.jpg,Abyssinian
Abyssinian_68.jpg,Abyssinian
Abyssinian_173.jpg,Abyssinian
Abyssinian_87.jpg,Abyssinian
Abyssinian_79.jpg,Abyssinian
Abyssinian_150.jpg,Abyssinian
Abyssinian_54.jpg,Abyssinian
Abyssinian_177.jpg,Abyssinian
Abyssinian_161.jpg,Abyssinian
Abyssinian_230.jpg,Abyssinian
Abyssinian_113.jpg,Abyssinian
Abyssinian_5.jpg,Abyssinian
Abyssinian_190.jpg,Abyssinian
Abyssinian_159.jpg,Abyssinian
Abyssinian_154.jpg,Abyssinian
Abyssinian_179.jpg,Abyssinian
Abyssinian_160.jpg,Abyssinian
Abyssinian_232.jpg,Abyssinian
Abyssinian_30.jpg,Abyssinian
Abyssinian_107.jpg,Abyssinian
Abyssinian_115.jpg,Abyssinian
Abyssinian_15.jpg,Abyssinian
Abyssinian_17.jpg,Abyssinian
Abyssinian_51.jpg,Abyssinian
Abyssinian_204.jpg,Abyssinian
Abyssinian_33.jpg,Abyssinian
Abyssinian_36.jpg,Abyssinian
Abyssinian_67.jpg,Abyssinian
Abyssinian_170.jpg,Abyssinian
Abyssinian_174.jpg,Abyssinian
Abyssinian_97.jpg,Abyssinian
Abyssinian_133.jpg,Abyssinian
Abyssinian_120.jpg,Abyssinian
Abyssinian_226.jpg,Abyssinian
Abyssinian_95.jpg,Abyssinian
Abyssinian_125.jpg,Abyssinian
Abyssinian_116.jpg,Abyssinian
Abyssinian_45.jpg,Abyssinian
Abyssinian_180.jpg,Abyssinian
Abyssinian_217.jpg,Abyssinian
Abyssinian_75.jpg,Abyssinian
Abyssinian_103.jpg,Abyssinian
Abyssinian_24.jpg,Abyssinian
Abyssinian_220.jpg,Abyssinian
Abyssinian_168.jpg,Abyssinian
Abyssinian_40.jpg,Abyssinian
Abyssinian_196.jpg,Abyssinian
Abyssinian_74.jpg,Abyssinian
Abyssinian_193.jpg,Abyssinian
Bengal_186.jpg,Bengal
Bengal_112.jpg,Bengal
Bengal_126.jpg,Bengal
Bengal_61.jpg,Bengal
Bengal_34.jpg,Bengal
Bengal_22.jpg,Bengal
Bengal_161.jpg,Bengal
Bengal_72.jpg,Bengal
Bengal_76.jpg,Bengal
Bengal_14.jpg,Bengal
Bengal_159.jpg,Bengal
Bengal_83.jpg,Bengal
Bengal_68.jpg,Bengal
Bengal_17.jpg,Bengal
Bengal_87.jpg,Bengal
Bengal_79.jpg,Bengal
Bengal_15.jpg,Bengal
Bengal_56.jpg,Bengal
Bengal_173.jpg,Bengal
Bengal_160.jpg,Bengal
Bengal_30.jpg,Bengal
Bengal_113.jpg,Bengal
Bengal_52.jpg,Bengal
Bengal_184.jpg,Bengal
Bengal_158.jpg,Bengal
Bengal_153.jpg,Bengal
Bengal_175.jpg,Bengal
Bengal_16.jpg,Bengal
Bengal_31.jpg,Bengal
Bengal_38.jpg,Bengal
Bengal_107.jpg,Bengal
Bengal_115.jpg,Bengal
Bengal_149.jpg,Bengal
Bengal_167.jpg,Bengal
Bengal_54.jpg,Bengal
Bengal_194.jpg,Bengal
Bengal_40.jpg,Bengal
Bengal_42.jpg,Bengal
Bengal_67.jpg,Bengal
Bengal_168.jpg,Bengal
Bengal_170.jpg,Bengal
Bengal_97.jpg,Bengal
Bengal_133.jpg,Bengal
Bengal_120.jpg,Bengal
Bengal_29.jpg,Bengal
Bengal_95.jpg,Bengal
Bengal_125.jpg,Bengal
Bengal_116.jpg,Bengal
Bengal_48.jpg,Bengal
Bengal_177.jpg,Bengal
Bengal_21.jpg,Bengal
Bengal_75.jpg,Bengal
Bengal_103.jpg,Bengal
Bengal_32.jpg,Bengal
Bengal_24.jpg,Bengal
Bengal_165.jpg,Bengal
Bengal_45.jpg,Bengal
Bengal_189.jpg,Bengal
Bengal_74.jpg,Bengal
Bengal_187.jpg,Bengal
Birman_185.jpg,Birman
Birman_112.jpg,Birman
Birman_126.jpg,Birman
Birman_61.jpg,Birman
Birman_34.jpg,Birman
Birman_22.jpg,Birman
Birman_161.jpg,Birman
Birman_72.jpg,Birman
Birman_76.jpg,Birman
Birman_14.jpg,Birman
Birman_159.jpg,Birman
Birman_83.jpg,Birman
Birman_68.jpg,Birman
Birman_17.jpg,Birman
Birman_87.jpg,Birman
Birman_79.jpg,Birman
Birman_15.jpg,Birman
Birman_56.jpg,Birman
Birman_173.jpg,Birman
Birman_160.jpg,Birman
Birman_30.jpg,Birman
Birman_113.jpg,Birman
Birman_52.jpg,Birman
Birman_183.jpg,Birman
Birman_158.jpg,Birman
Birman_153.jpg,Birman
Birman_175.jpg,Birman
Birman_16.jpg,Birman
Birman_31.jpg,Birman
Birman_38.jpg,Birman
Birman_107.jpg,Birman
Birman_115.jpg,Birman
Birman_149.jpg,Birman
Birman_167.jpg,Birman
Birman_54.jpg,Birman
Birman_193.jpg,Birman
Birman_40.jpg,Birman
Birman_42.jpg,Birman
Birman_67.jpg,Birman
Birman_168.jpg,Birman
Birman_170.jpg,Birman
Birman_97.jpg,Birman
Birman_133.jpg,Birman
Birman_120.jpg,Birman
Birman_29.jpg,Birman
Birman_95.jpg,Birman
Birman_125.jpg,Birman
Birman_116.jpg,Birman
Birman_48.jpg,Birman
Birman_177.jpg,Birman
Birman_21.jpg,Birman
